"callsign","lat","lon","addr2"
"VE7AMV","49.252500","-123.065290","VANCOUVER"
"VE7ARD","49.169454","-123.172521","VANCOUVER"
"VE7BAS","49.145600","-123.176500","RICHMOND"
"VE7BUB","49.160200","-123.114000","RICHMOND"
"VE7CED","48.890800","-123.539800","SALT SPRING ISLAND"
"VE7COC","47.901672","-122.575030","SORRENTO"
"VE7DG","49.267200","-123.200400","VANCOUVER"
"VE7MRP","49.571541","-122.156982",""
"VE7VSQ","48.424900","-123.365100","VICTORIA"
"VE7WCX","28.866667","-82.516667","NORTH VANCOUVER"
"VE7XNZ","49.680200","-115.979400","KIMBERLEY"
"VA7MP","49.135407","-122.600669","LANGLEY"
"VE7DMR","49.268000","-123.168000","VANCOUVER"
"VA7EWK","49.270000","-123.126667","Vancouver"
"VE7GCN","49.103400","-122.654400","LANGLEY"
"VE7DIT","49.296700","-122.845690","PORT MOODY"
"VA7PM","49.145600","-123.176500","RICHMOND"
"VE7BRN","51.647200","-121.294000","100 MILE HOUSE"
"VA7KPB","49.500600","-115.766700","CRANBROOK"
"VA7HIQ","49.230900","-122.998090","BURNABY"
"VA7TWX","42.983400","-81.067099","Courtenay"
"VA6ASS","49.390200","-121.440500","HOPE"
"VA7AA","48.913800","-123.706500","CHEMAINUS"
"VA7AAA","49.103400","-122.654400","LANGLEY"
"VA7AAB","49.233400","-124.799800","PORT ALBERNI"
"VA7AAH","49.162000","-123.175500","RICHMOND"
"VA7AAI","49.352300","-123.115900","NORTH VANCOUVER"
"VA7AAK","49.182700","-122.880500","SURREY"
"VA7AAL","49.160200","-123.114000","RICHMOND"
"VA7AAP","49.247800","-123.090500","VANCOUVER"
"VA7AAU","49.235900","-123.149000","VANCOUVER"
"VA7AAV","49.243900","-123.040400","VANCOUVER"
"VA7AAX","49.225500","-123.068100","RICHMOND"
"VA7AAZ","49.320500","-123.056700","NORTH VANCOUVER"
"VA7ABA","49.980500","-125.224300","CAMPBELL RIVER"
"VA7ABB","49.277300","-123.113200","VANCOUVER"
"VA7ABC","49.142900","-122.865500","SURREY"
"VA7ABL","52.133600","-122.149800","WILLIAMS LAKE"
"VA7ABT","49.276800","-123.039100","VANCOUVER"
"VA7ABX","49.135000","-122.303900","MISSION"
"VA7ABZ","49.247800","-123.090500","VANCOUVER"
"VA7ACE","48.436100","-123.409700","VICTORIA"
"VA7ACL","48.993100","-123.821700","LADYSMITH"
"VA7ACT","49.274300","-122.758200","PORT COQUITLAM"
"VA7ACW","50.216700","-119.200200","COLDSTREAM"
"VA7ADB","49.107800","-122.865100","SURREY"
"VA7ADI","49.054800","-122.321600","ABBOTSFORD"
"VA7ADM","48.406000","-123.517700","VICTORIA"
"VA7ADO","49.873300","-119.543100","KELOWNA"
"VA7ADS","50.216700","-119.200200","COLDSTREAM"
"VA7ADY","50.258300","-119.266700","VERNON"
"VA7AE","49.243900","-123.040400","VANCOUVER"
"VA7AEB","49.212500","-122.917590","NEW WESTMINSTER"
"VA7AEM","49.496900","-119.598690","PENTICTON"
"VA7AEO","54.779100","-127.178200","SMITHERS"
"VA7AER","53.876900","-122.803600","PRINCE GEORGE"
"VA7AEV","49.228500","-123.185000","VANCOUVER"
"VA7AEX","49.135000","-122.303900","MISSION"
"VA7AF","49.684400","-124.930300","COMOX"
